"PolicyNumber","FraudFound","Make","AccidentArea","Sex","MaritalStatus","AgeOfPolicyHolder","Fault","VehicleCategory","VehiclePrice","PoliceReportFiled","WitnessPresent","AddressChange.Claim","NumberOfCars"
2628,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2632,0,"Pontiac","Urban","Male","Married","51 to 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2637,0,"Toyota","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2642,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
2646,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2647,0,"Pontiac","Urban","Female","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
2652,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","Yes","No","no change","1 vehicle"
2657,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
2662,0,"Toyota","Urban","Male","Married","51 to 65","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
2667,0,"Mazda","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2672,0,"Toyota","Urban","Male","Married","36 to 40","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2677,0,"Pontiac","Urban","Male","Married","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2678,1,"Ford","Rural","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2682,0,"Toyota","Rural","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
2687,0,"Pontiac","Urban","Male","Single","26 to 30","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2692,0,"Toyota","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2697,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2702,0,"Honda","Rural","Female","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
2707,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","3 to 4"
2708,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2712,0,"Pontiac","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2717,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2722,0,"Dodge","Urban","Male","Single","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2727,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2732,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
2737,0,"Pontiac","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","Yes","Yes","no change","1 vehicle"
2742,0,"Toyota","Urban","Male","Single","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2747,0,"Honda","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2752,0,"Toyota","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
2757,1,"Chevrolet","Urban","Female","Divorced","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2762,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2767,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
2772,0,"Mazda","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2777,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
2782,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2787,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2789,1,"Saturn","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
2790,1,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2792,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2797,0,"Honda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2802,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
2806,1,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
2807,0,"Chevrolet","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2809,1,"Accura","Rural","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2812,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
2817,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
2821,1,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
2822,1,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","1 year","1 vehicle"
2827,0,"Saab","Urban","Male","Single","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
2832,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2837,0,"VW","Urban","Male","Married","51 to 65","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
2842,0,"Chevrolet","Urban","Male","Single","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
2847,0,"Mazda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2852,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
2857,1,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","2 to 3 years","2 vehicles"
2862,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
2864,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2867,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","Yes","no change","1 vehicle"
2872,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2877,0,"Ford","Urban","Male","Married","41 to 50","Policy Holder","Sedan","60,000 to 69,000","No","No","no change","1 vehicle"
2882,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2886,1,"Pontiac","Urban","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2887,0,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2892,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2897,0,"Chevrolet","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2902,0,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
2907,0,"Honda","Urban","Female","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
2910,1,"Toyota","Rural","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2912,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","3 to 4"
2917,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2922,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2923,1,"Ford","Rural","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2927,0,"Accura","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2932,0,"Saab","Urban","Male","Married","31 to 35","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
2937,0,"Pontiac","Urban","Male","Married","over 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2939,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2942,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
2947,0,"VW","Urban","Male","Single","51 to 65","Policy Holder","Sport","60,000 to 69,000","No","No","no change","1 vehicle"
2952,0,"Honda","Rural","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
2954,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2957,0,"Mazda","Urban","Female","Single","26 to 30","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2962,0,"Chevrolet","Urban","Female","Married","41 to 50","Third Party","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
2963,1,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
2967,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
2968,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
2972,0,"Mazda","Urban","Female","Single","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
2974,1,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
2977,0,"Mazda","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2982,0,"VW","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2987,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
2992,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
2997,0,"Pontiac","Rural","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3000,1,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3002,0,"Toyota","Rural","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3007,0,"Mazda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3011,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3012,0,"Ford","Urban","Male","Married","over 65","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
3017,0,"Toyota","Urban","Male","Married","over 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
3022,0,"Chevrolet","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3027,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3032,0,"Mazda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3033,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3037,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3042,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
3045,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
3047,0,"Mazda","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3052,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3054,1,"Pontiac","Urban","Male","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3057,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3062,0,"Toyota","Rural","Male","Married","over 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3067,0,"Chevrolet","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
3072,0,"Pontiac","Urban","Female","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3077,0,"Mazda","Urban","Female","Single","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3079,1,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3082,0,"Honda","Urban","Male","Single","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3087,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3088,1,"Toyota","Rural","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
3092,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3096,1,"Pontiac","Urban","Female","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3097,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3098,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3102,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3107,0,"Ford","Urban","Female","Single","31 to 35","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
3112,0,"Chevrolet","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","Yes","Yes","no change","1 vehicle"
3117,0,"Honda","Urban","Male","Single","21 to 25","Third Party","Sport","more than 69,000","No","No","no change","3 to 4"
3118,1,"Accura","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3122,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3127,0,"Toyota","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3130,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
3132,1,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3137,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3141,1,"Mazda","Rural","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3142,0,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3143,1,"Toyota","Urban","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3147,0,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3152,0,"Toyota","Rural","Female","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3157,0,"Honda","Urban","Male","Single","16 to 17","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
3162,0,"Honda","Urban","Female","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3167,0,"Toyota","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3172,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","Yes","No","4 to 8 years","2 vehicles"
3173,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
3177,0,"Toyota","Urban","Male","Married","over 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3182,0,"Pontiac","Urban","Male","Single","31 to 35","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3187,1,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
3192,1,"Toyota","Urban","Male","Single","36 to 40","Policy Holder","Sedan","40,000 to 59,000","No","No","no change","1 vehicle"
3193,1,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
3197,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3202,0,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3207,0,"Chevrolet","Urban","Male","Married","41 to 50","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
3210,1,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3212,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3217,0,"Pontiac","Urban","Female","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3222,0,"Mazda","Urban","Female","Single","26 to 30","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3227,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3232,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3237,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3242,0,"Pontiac","Urban","Female","Married","36 to 40","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
3247,0,"Honda","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3251,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
3252,0,"Ford","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3257,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3259,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
3262,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","40,000 to 59,000","No","No","no change","1 vehicle"
3265,1,"Mazda","Urban","Male","Married","36 to 40","Third Party","Sedan","30,000 to 39,000","No","No","2 to 3 years","1 vehicle"
3267,0,"Pontiac","Rural","Female","Divorced","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3268,1,"Pontiac","Rural","Male","Single","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
3272,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3276,1,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3277,0,"Toyota","Urban","Female","Married","31 to 35","Policy Holder","Sport","more than 69,000","No","No","1 year","2 vehicles"
3282,0,"Mazda","Rural","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3287,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3292,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3297,0,"Honda","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3298,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
3302,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3307,0,"Honda","Urban","Female","Single","26 to 30","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3312,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","more than 69,000","Yes","No","no change","1 vehicle"
3317,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3322,0,"Pontiac","Urban","Male","Married","36 to 40","Third Party","Sport","30,000 to 39,000","No","No","no change","3 to 4"
3327,0,"Mazda","Urban","Male","Married","51 to 65","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
3332,0,"Mazda","Urban","Female","Single","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3335,1,"Honda","Urban","Male","Single","21 to 25","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3337,0,"Pontiac","Urban","Male","Married","51 to 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
3342,0,"Toyota","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3347,0,"Ford","Urban","Male","Single","41 to 50","Third Party","Sedan","less than 20,000","No","No","no change","1 vehicle"
3352,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3357,0,"Pontiac","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3362,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3367,0,"Honda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
3372,0,"Toyota","Urban","Female","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3377,0,"Toyota","Urban","Male","Married","36 to 40","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
3382,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sedan","more than 69,000","No","No","4 to 8 years","2 vehicles"
3387,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sedan","20,000 to 29,000","Yes","No","no change","1 vehicle"
3392,0,"Chevrolet","Rural","Male","Married","31 to 35","Policy Holder","Utility","more than 69,000","No","No","no change","1 vehicle"
3397,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3402,0,"Honda","Urban","Male","Married","51 to 65","Policy Holder","Sport","30,000 to 39,000","No","No","no change","1 vehicle"
3407,1,"Pontiac","Urban","Male","Single","36 to 40","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
3408,1,"Toyota","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3412,0,"Nisson","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3417,0,"Chevrolet","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3422,1,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3423,1,"Honda","Urban","Male","Divorced","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3427,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3432,0,"Pontiac","Urban","Female","Married","51 to 65","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3437,0,"Accura","Urban","Male","Single","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3442,0,"Mazda","Urban","Male","Married","31 to 35","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
3444,1,"Mazda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3447,0,"Pontiac","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3452,0,"Toyota","Urban","Male","Married","51 to 65","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3457,1,"Mazda","Rural","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3461,1,"Mazda","Urban","Male","Single","26 to 30","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3462,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
3463,1,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3467,0,"Toyota","Rural","Male","Married","over 65","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
3472,0,"Toyota","Rural","Male","Married","over 65","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
3477,0,"Ford","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3482,0,"Mazda","Urban","Male","Married","41 to 50","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3487,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","30,000 to 39,000","No","No","4 to 8 years","2 vehicles"
3492,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
3493,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","less than 20,000","No","No","no change","1 vehicle"
